1.088239710000000000e+08,1.803000000000000000e+03,1.778000000000000000e+03,2.223000000000000000e+03,4.940200000000000000e+04
1.088439720000000000e+08,1.792000000000000000e+03,1.767000000000000000e+03,2.223000000000000000e+03,4.930500000000000000e+04
1.088639740000000000e+08,1.797000000000000000e+03,1.773000000000000000e+03,2.226000000000000000e+03,4.931200000000000000e+04
1.088839750000000000e+08,1.804000000000000000e+03,1.770000000000000000e+03,2.222000000000000000e+03,4.927300000000000000e+04
1.089039750000000000e+08,1.797000000000000000e+03,1.773000000000000000e+03,2.225000000000000000e+03,4.928200000000000000e+04
1.089239760000000000e+08,1.795000000000000000e+03,1.774000000000000000e+03,2.224000000000000000e+03,4.928100000000000000e+04
1.089439760000000000e+08,1.791000000000000000e+03,1.775000000000000000e+03,2.219000000000000000e+03,4.927900000000000000e+04
1.089639760000000000e+08,1.797000000000000000e+03,1.773000000000000000e+03,2.227000000000000000e+03,4.928800000000000000e+04
1.089839770000000000e+08,1.789000000000000000e+03,1.770000000000000000e+03,2.224000000000000000e+03,4.931700000000000000e+04
1.090039780000000000e+08,1.795000000000000000e+03,1.775000000000000000e+03,2.224000000000000000e+03,4.932600000000000000e+04
1.090239780000000000e+08,1.792000000000000000e+03,1.774000000000000000e+03,2.226000000000000000e+03,4.936800000000000000e+04
1.090439790000000000e+08,1.791000000000000000e+03,1.774000000000000000e+03,2.227000000000000000e+03,4.938100000000000000e+04
1.090639790000000000e+08,1.796000000000000000e+03,1.773000000000000000e+03,2.234000000000000000e+03,4.940200000000000000e+04
1.090839790000000000e+08,1.796000000000000000e+03,1.772000000000000000e+03,2.224000000000000000e+03,4.942900000000000000e+04
1.091039800000000000e+08,1.791000000000000000e+03,1.775000000000000000e+03,2.223000000000000000e+03,4.941700000000000000e+04
1.091239810000000000e+08,1.799000000000000000e+03,1.773000000000000000e+03,2.224000000000000000e+03,4.943700000000000000e+04
1.091439810000000000e+08,1.795000000000000000e+03,1.770000000000000000e+03,2.221000000000000000e+03,4.941200000000000000e+04
1.091639830000000000e+08,1.795000000000000000e+03,1.769000000000000000e+03,2.224000000000000000e+03,4.941600000000000000e+04
